id,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,id_please,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,place_guess,latitude,longitude,positional_accuracy,private_latitude,private_longitude,private_positional_accuracy,geoprivacy,positioning_method,positioning_device,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,tag_list,description,curator_ident_taxon_id,curator_ident_taxon_name,curator_ident_user_id,curator_ident_user_login,tracking_code,field:habitat,field:depth (m),field:depth (ft),field:night dive
566191,Stichopus herrmanni,Stichopus herrmanni,,Animalia,347254,false,1,0,2014-02-27 11:11:02,2014-02-27,2014-02-27 16:11:02 UTC,Eastern Time (US & Canada),"",7.365645,134.3570466667,,,,,,,,,10787,maractwin,2014-03-13 15:28:48 UTC,2014-10-20 16:08:20 UTC,research,CC-BY,http://www.inaturalist.org/observations/566191,http://static.inaturalist.org/photos/719844/medium.jpg?1394724555,"","",,,,,,,,60,no
556537,Synaptula reticulata,Synaptula reticulata,,Animalia,349810,true,1,0,2014-02-21 14:05:13,2014-02-21,2014-02-21 19:05:13 UTC,Eastern Time (US & Canada),"Peleliu, Koror, Palau",7.0875133333,134.2581216667,,,,,,,,,10787,maractwin,2014-03-07 20:50:19 UTC,2014-10-20 15:46:55 UTC,research,CC-BY,http://www.inaturalist.org/observations/556537,http://static.inaturalist.org/photos/709551/medium.jpg?1394225493,"",About pencil-thick and quite long.,349810,Synaptula reticulata,35467,gpaulay,,,,50,no
566628,Diadema setosum,Diadema setosum,,Animalia,199812,false,2,0,2014-02-27 18:48:19,2014-02-27,2014-02-27 23:48:19 UTC,Eastern Time (US & Canada),"Koror, Palau",7.307975,134.4831916667,,,,,,,,,10787,maractwin,2014-03-13 21:54:54 UTC,2014-10-20 16:09:32 UTC,research,CC-BY,http://www.inaturalist.org/observations/566628,http://static.inaturalist.org/photos/720367/medium.jpg?1394747723,"","",199812,Diadema setosum,35467,gpaulay,,patch reef in quiet lagoon,,5,yes
566186,Multipore Sea Star,Linckia multifora,Spotted Linckia,Animalia,121797,false,1,0,2014-02-27 10:53:25,2014-02-27,2014-02-27 15:53:25 UTC,Eastern Time (US & Canada),"",7.365645,134.3570466667,,,,,,,,,10787,maractwin,2014-03-13 15:28:37 UTC,2014-10-20 16:08:19 UTC,research,CC-BY,http://www.inaturalist.org/observations/566186,http://static.inaturalist.org/photos/719838/medium.jpg?1394724535,"",,121797,Linckia multifora,35467,gpaulay,,Rubble,,80,no
563745,Luzon Sea Star,Echinaster luzonicus,Luzon Sea Star,Animalia,136699,false,1,0,2014-02-26 07:43:43,2014-02-26,2014-02-26 12:43:43 UTC,Eastern Time (US & Canada),"Koror, Palau",7.2855833333,134.4557716667,,,,,,,,,10787,maractwin,2014-03-11 20:52:48 UTC,2014-10-20 16:02:32 UTC,research,CC-BY,http://www.inaturalist.org/observations/563745,http://static.inaturalist.org/photos/717162/medium.jpg?1394571639,"","",136699,Echinaster luzonicus,35467,gpaulay,,,,65,no
561116,Imperial Lance Urchin,Phyllacanthus imperialis,Imperial Lance Urchin,Animalia,345723,false,2,0,2014-02-23 18:01:17,2014-02-23,2014-02-23 23:01:17 UTC,Eastern Time (US & Canada),"Peleliu, Koror, Palau",7.0860966667,134.2609216667,,,,,,,,,10787,maractwin,2014-03-10 14:13:22 UTC,2014-10-20 15:57:30 UTC,research,CC-BY,http://www.inaturalist.org/observations/561116,http://static.inaturalist.org/photos/714692/medium.jpg?1394460844,"","",345723,Phyllacanthus imperialis,35467,gpaulay,,crevice in wall,,50,yes
556085,Culcita,Culcita,,Animalia,50417,false,3,0,2014-02-12 08:49:33,2014-02-12,2014-02-12 05:49:33 UTC,Nairobi,Mkimu,-4.613973,39.304104,1000,,,,,,,,31721,gvi_shimoni,2014-03-07 11:56:43 UTC,2014-10-20 15:45:37 UTC,research,,http://www.inaturalist.org/observations/556085,http://static.inaturalist.org/photos/708924/medium.JPG?1394193410,"",Estimated diameter 25cm,339357,Culcita schmideliana,35467,gpaulay,,Intertidal coral rag shelf,0,,no
572711,Pisaster ochraceus,Pisaster ochraceus,Ochre Sea Star,Animalia,49699,false,1,0,2014-03-13 14:00:51,2014-03-13,2014-03-13 21:00:51 UTC,Pacific Time (US & Canada),"Golden Gate Natl. Rec. Area - MA, Marin, Golden Gate National Recreation Area, California, United States",37.8702833333,-122.5963027778,,,,,,,,,2692,kestrel,2014-03-17 16:55:26 UTC,2014-10-20 16:24:51 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/572711,http://static.inaturalist.org/photos/728030/medium.JPG?1395075852,"","",,,,,,Rocky intertidal,,,
572716,Pisaster ochraceus,Pisaster ochraceus,Ochre Sea Star,Animalia,49699,false,1,0,2014-03-13 14:57:57,2014-03-13,2014-03-13 21:57:57 UTC,Pacific Time (US & Canada),"Golden Gate Natl. Rec. Area - MA, Marin, Golden Gate National Recreation Area, California, United States",37.873975,-122.6005388889,,,,,,,,,2692,kestrel,2014-03-17 16:56:01 UTC,2014-10-20 16:24:52 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/572716,http://static.inaturalist.org/photos/728036/medium.JPG?1395075404,"","",,,,,,Rocky intertidal,,,
572720,Henricia,Henricia,,Animalia,47665,false,1,0,2014-03-13 15:02:23,2014-03-13,2014-03-13 22:02:23 UTC,Pacific Time (US & Canada),"Golden Gate Natl. Rec. Area - MA, Marin, Golden Gate National Recreation Area, California, United States",37.8738,-122.6005972222,,,,,,,,,2692,kestrel,2014-03-17 16:56:49 UTC,2014-10-20 16:24:53 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/572720,http://static.inaturalist.org/photos/728040/medium.JPG?1395075432,"","",47665,Henricia,35467,gpaulay,,Rocky intertidal,,,
